epoch,train_mse,val_mse
0,0.0026118737504085793,0.0007246187888085842
1,0.0020151315215376337,0.0006394597585313022
2,0.0018531634019122326,0.0005738420295529068
3,0.0017254710692213848,0.000516548112500459
4,0.0015829518264841422,0.00047150146565400064
5,0.0014705753357182921,0.00046499507152475417
6,0.0013948552992327937,0.0004206699668429792
7,0.001286686722388757,0.000412341789342463
8,0.0012416296802777132,0.000404416088713333
9,0.0011642216580055123,0.00037906281067989767
10,0.001093937702535186,0.0003766058071050793
11,0.0010136463565036788,0.0003624313394539058
12,0.00096266958072582,0.00035134138306602836
13,0.0009214127905059806,0.0003378692490514368
14,0.0008904141026765241,0.00043206324335187674
15,0.000892927944992802,0.00037028221413493156
16,0.0008286805033484208,0.00037011795211583376
17,0.0007848691935318389,0.00035194543306715786
18,0.0007442893142329662,0.0003593337896745652
19,0.0007328697517680537,0.0003899232833646238
20,0.000700512773099555,0.00033562100725248456
21,0.0006643577331228048,0.0003423258604016155
22,0.0006396916115980795,0.00036403481499291956
23,0.0006617936238139269,0.0003117429150734097
24,0.0006409171832534152,0.00030973475077189505
25,0.0005778467171434645,0.00029508909210562706
26,0.0005481108679045324,0.0003056800051126629
27,0.0005378264042000021,0.00031438592122867703
28,0.0005343064897585594,0.00030716077890247107
29,0.0005009787367141273,0.0003022500895895064
30,0.00048734271591196636,0.000287099537672475
31,0.00047881851423881017,0.0003210763679817319
32,0.0004966812219728516,0.00028744834708049893
33,0.00047104536497499794,0.0002932028437498957
34,0.00044104682300322954,0.00034432782558724284
35,0.000443452772742603,0.00030691284337081015
36,0.0004230421909596771,0.0003110581892542541
37,0.0004255347666912712,0.00032337664742954075
38,0.0004254927121759725,0.00034406143822707236
39,0.00039637109564085094,0.00036817355430684984
40,0.00041214783985716555,0.0003562259371392429
41,0.00039016283803253567,0.00035560561809688807
42,0.00036649084930624146,0.00037751876516267657
43,0.0003645280188980645,0.0004027657560072839
44,0.00035918951523074483,0.000345693901181221
45,0.0003511926728866196,0.00038454687455669045
46,0.0003410619226217802,0.0003506980719976127
47,0.0003312453305365385,0.00037824627361260355
48,0.00032984755307552405,0.00047770157107152045
49,0.0003335330698713993,0.00037243615952320397
