epoch,train_mse,val_mse
0,0.0023010628550158194,0.000738970993552357
1,0.0009553390749109288,0.0007183860871009529
2,0.0008597788012896975,0.0006768040475435555
3,0.0007614872301928699,0.0006527368677780032
4,0.0007022515249749025,0.0006327131413854659
5,0.0006988454842939973,0.0006160117918625474
6,0.0006459472448720286,0.0005977920372970402
7,0.0006405490955027441,0.0005763782537542284
8,0.0005974150553811342,0.0005551802460104227
9,0.0005622210737783462,0.0005353377782739699
10,0.000540420568237702,0.0005156797706149518
11,0.0004998379493675505,0.0004926737165078521
12,0.00048694151822322357,0.00047344251652248204
13,0.00043831996542091173,0.00045874729403294623
14,0.00041535135339169454,0.00044185109436511993
15,0.00038650623658516753,0.0004227218159940094
16,0.0003590365862085794,0.0004082600644323975
17,0.00033032918387713533,0.0003935334098059684
18,0.0003056744220278536,0.00037962509668432176
19,0.00029318095281875384,0.0003617376496549696
20,0.0002701169529852147,0.000350493035512045
21,0.00025203596548332524,0.00033102810266427696
22,0.0002340115218733748,0.0003164955123793334
23,0.00021647920948453248,0.00030931271612644196
24,0.00021444336258961508,0.00030136347049847245
25,0.0002027926869535198,0.00029085195274092257
26,0.00019635172308577845,0.00029223840101622045
27,0.00018139220628654584,0.0002760627248790115
28,0.00018075480814635134,0.0003032809472642839
29,0.0001764658469861994,0.00028087309328839183
30,0.00017293106793658808,0.00031063391361385584
31,0.00017087826078447202,0.00028129020938649774
32,0.0001649640325922519,0.0002808450080920011
33,0.00015757097086558738,0.00028333536465652287
34,0.00015695460266821706,0.000294140016194433
35,0.00015505975898122415,0.00030819984385743737
36,0.00015928182862505005,0.0002914054202847183
37,0.00015133162620865429,0.00030751965823583305
38,0.00015007672482170165,0.00028919661417603493
39,0.00014448988804360852,0.0002946449676528573
40,0.00014275051580625586,0.00029412549338303506
41,0.0001454939592804294,0.00029237946728244424
42,0.0001436754537280649,0.0002908127207774669
43,0.00014325365312591506,0.0002833018370438367
44,0.0001377735000763399,0.00029268881189636886
45,0.00014060612253767127,0.0002734631416387856
46,0.0001441577211759674,0.0002940736885648221
47,0.00014548927477638549,0.00028704601572826505
48,0.0001415628588195735,0.00027789786690846086
49,0.00014073451772370996,0.00028974024462513626
