epoch,train_mse,val_mse
0,0.0028174532344564795,0.0010008752578869462
1,0.0009640785186396291,0.0008600001456215978
2,0.0008789147929443667,0.0007662002462893724
3,0.0007702048557500044,0.0007149660959839821
4,0.0007225422790118804,0.000678405340295285
5,0.0007101121979455153,0.0006541049224324524
6,0.0006867763392316798,0.0006367441965267062
7,0.0006564292998518795,0.0006177368923090398
8,0.000624382053501904,0.0005959889967925847
9,0.0006007736374158412,0.0005716689047403634
10,0.0005678874003933743,0.0005497755482792854
11,0.0005546861793845892,0.0005257396260276437
12,0.0004992328128234172,0.0005006077699363232
13,0.0004615912524362405,0.0004863901704084128
14,0.00042390957241877913,0.0004671055357903242
15,0.0003851649914092074,0.0004478355112951249
16,0.0003540822071954608,0.00045674032298848033
17,0.0003190784724817301,0.00044218747643753886
18,0.00029319164362580824,0.00040626476402394474
19,0.0002699277708112883,0.0003721154644154012
20,0.00024848434986779466,0.0003549108805600554
21,0.00022731734012874463,0.00034375651739537716
22,0.00022236821435702345,0.00032960253884084523
23,0.0002042423608751657,0.00031591602601110935
24,0.0002004178022616543,0.00031898077577352524
25,0.00018747139741511395,0.00031396502163261175
26,0.000183854028970624,0.0003362566349096596
27,0.0001768813696495878,0.0003031028900295496
28,0.00018478425530095896,0.0003225049586035311
29,0.00017099063794982308,0.00031603954266756773
30,0.0001654376780303816,0.000336312543367967
31,0.00016183445404749364,0.0003186500689480454
32,0.0001631389701894174,0.0003248379798606038
33,0.00015717640053480864,0.0003417768457438797
34,0.00015487867979876077,0.00033718679333105683
35,0.00015329520586722842,0.00033160659950226545
36,0.0001504647298133932,0.00033055554376915097
37,0.0001450870064824509,0.0003368545731063932
38,0.00015112912903229395,0.0003585477243177593
39,0.00014802502361514294,0.00031916124862618744
40,0.00014714641535344222,0.00035110954195261
41,0.0001448405067397592,0.00032677632407285273
42,0.00014901145308006866,0.0003475491248536855
43,0.00014615286030069305,0.0003571025445125997
44,0.00013648838042475594,0.00035213198862038553
45,0.00014355405316261263,0.0003630871942732483
46,0.0001375419451505877,0.00037145515670999885
47,0.00013548087978657955,0.0003619324997998774
48,0.00014067258841047683,0.00037378573324531317
49,0.00013952440106853223,0.0003614884917624295
