epoch,train_mse,val_mse
0,0.0014574472821550443,0.0006326327566057444
1,0.001049120911435845,0.0005030926549807191
2,0.0009335430857997077,0.00038819946348667145
3,0.0008472378433604414,0.0003256698837503791
4,0.0007818839250830934,0.00029745910433121026
5,0.0007260099797955869,0.00026425335090607405
6,0.0006803949477519684,0.0002590566873550415
7,0.0006376609269257945,0.00025356689002364874
8,0.0006053417414174571,0.0002425941202091053
9,0.0005807497735077049,0.00023781921481713653
10,0.0005370613044457666,0.0002201932220486924
11,0.000517545736268706,0.00025271400227211416
12,0.00047638571874510186,0.00021225553064141423
13,0.0004550721957154262,0.0002000836975639686
14,0.0004336258035133748,0.00020959255925845355
15,0.0004126263413733492,0.00020767100795637816
16,0.0003853088135656435,0.00018775850185193121
17,0.00036707807254667083,0.0002006987779168412
18,0.0003544562042710216,0.0001908919948618859
19,0.0003433558984397678,0.00021016203390900046
20,0.0003280525020575927,0.0001901924842968583
21,0.00031108810859829344,0.00019556647748686373
22,0.0002974162859269806,0.00019659441022668034
23,0.00028064002011281747,0.00019325852917972952
24,0.00028273904257124135,0.00017648827633820474
25,0.0002663183472274492,0.00019804372277576476
26,0.00025386063255912933,0.00017921178368851542
27,0.00024322182362084276,0.0001797667209757492
28,0.00023058358650208295,0.00016518445045221597
29,0.00022297131108643952,0.00015880883438512683
30,0.00022816403507022187,0.00017803855007514358
31,0.00021118655313330238,0.00016314146341755986
32,0.00020200674492419542,0.00015788264863658696
33,0.00019752620719373226,0.00018032580555882305
34,0.00019976313184694544,0.00016307133773807436
35,0.00019215350633506508,0.000157556205522269
36,0.00017842612057089962,0.0001578462397446856
37,0.0001834927889528141,0.00015151231491472572
38,0.00017121392678139577,0.00014627835480496287
39,0.00016921013169242846,0.00015205200179480016
40,0.00016536554066988175,0.00016525400860700756
41,0.00015942258420788372,0.00015543006884399801
42,0.00015634443504192557,0.0001443300861865282
43,0.00014939218211414604,0.00015160204202402383
44,0.00015082304222839107,0.00016067817341536283
45,0.00014538944900171675,0.00014536995149683207
46,0.00014410462099476718,0.000154119057697244
47,0.0001446235000306236,0.00014399262727238238
48,0.00014455749696935528,0.00014736155571881682
49,0.00013445886094511176,0.00015235667524393648
