epoch,train_mse,val_mse
0,0.0026852785792600897,0.0005071780178695917
1,0.002044935103705419,0.00043584327795542777
2,0.0019204918103891291,0.00037439700099639595
3,0.0017921393841139174,0.0003304877900518477
4,0.0016798515009993156,0.0002933065698016435
5,0.0015546488326175936,0.0002674649003893137
6,0.0014548855812920789,0.00024297769414260983
7,0.0013878981616081937,0.00024210699484683573
8,0.0013168200759017573,0.0002531835052650422
9,0.0012257443179675778,0.00021312915487214923
10,0.0011453225649477514,0.0001970665471162647
11,0.001068963434330986,0.00019333281670697033
12,0.0010253339018423244,0.0001782970066415146
13,0.0009791146658244543,0.00019559846259653568
14,0.0009143004645011388,0.00018924295727629215
15,0.0008714893260080966,0.00020083051640540361
16,0.0008835229746182449,0.000185417418833822
17,0.0007824560390352937,0.0001614682114450261
18,0.0007756946849570211,0.0001798105367925018
19,0.0007714817371119612,0.0001716805127216503
20,0.0007258217369131412,0.0001624146243557334
21,0.0006781383230450696,0.00014979232219047844
22,0.0006750383259454143,0.0001482364459661767
23,0.0006442501367668488,0.0001718551357043907
24,0.0006330740460336008,0.000156657857587561
25,0.0005814524182434459,0.00014610339712817222
26,0.0005642667201755103,0.000143399418448098
27,0.0005636585842044692,0.00014597750850953162
28,0.0005396071943063621,0.00017491276958025992
29,0.0005482079977809917,0.00014225207269191742
30,0.0005091143923761722,0.00014889823796693236
31,0.0004975849291700537,0.00012902375601697713
32,0.00048602893626334013,0.00013130970182828605
33,0.00047044859664830644,0.00013548224524129182
34,0.00045449062651771655,0.00012437565601430833
35,0.0004408868512005678,0.00012518417497631162
36,0.0004458015079892773,0.0001465686218580231
37,0.0004219530637783464,0.00013199257955420762
38,0.0004198757555319129,0.00012540553871076554
39,0.00041248967006270377,0.00012426869943737984
40,0.00040997968920107396,0.00012699628132395446
41,0.0004003866415587254,0.00013353802205529064
42,0.0003847209268964694,0.00012601337220985442
43,0.0003719844405298188,0.00012409653572831303
44,0.0003743570741789881,0.00011618538701441139
45,0.0003477461058147518,0.00011420387454563752
46,0.0003475185060649112,0.00012804451398551464
47,0.00034250119071137827,0.00012307969154790044
48,0.0003381426293864414,0.00012172858259873465
49,0.0003467035104612088,0.00011100475967396051
