epoch,train_loss,val_loss,val_acc
0,0.12103627536179765,0.08574020117521286,0.9569528698921204
1,0.09192500565467136,0.07981011271476746,0.9652469754219055
2,0.08396595032353486,0.07623349875211716,0.9663795232772827
3,0.07834740054261471,0.07453042268753052,0.963881254196167
4,0.07286713765268879,0.08187093585729599,0.9632372856140137
5,0.06861798535500253,0.0777507945895195,0.9663795232772827
6,0.06510609578740384,0.07233279943466187,0.9671456217765808
7,0.06267194014441754,0.07485820353031158,0.9667125940322876
8,0.060004756835156256,0.0804995521903038,0.9642587900161743
9,0.05785937319243593,0.08244840800762177,0.9659909009933472
10,0.05596092166645186,0.07588934153318405,0.9700546860694885
11,0.05417991343619568,0.08479190617799759,0.9669901728630066
12,0.05262713917664119,0.08292683959007263,0.966601550579071
13,0.051177296545356514,0.0832236260175705,0.9664794206619263
14,0.049744719146484775,0.09158849716186523,0.9639034867286682
15,0.04893182546898191,0.0938178077340126,0.967711865901947
16,0.047933050310904425,0.0988118126988411,0.9654690623283386
17,0.0463958587174836,0.08190067857503891,0.9691997170448303
18,0.04550421619056059,0.08760182559490204,0.9669124484062195
19,0.04455072380469314,0.10344959795475006,0.9649583101272583
20,0.04338020269925307,0.10173840075731277,0.9643586874008179
21,0.04236324345559946,0.10701651126146317,0.9663462042808533
22,0.04165319925706301,0.11385306715965271,0.9618937969207764
23,0.04100040534843824,0.10185334831476212,0.9665904641151428
24,0.04001740865342851,0.10955524444580078,0.9672011137008667
25,0.03960857801937631,0.10638201236724854,0.9662906527519226
26,0.038857104282693136,0.11457479745149612,0.9660686254501343
27,0.03830606036919302,0.12616102397441864,0.9636813998222351
28,0.037232748927282434,0.1176292821764946,0.9670789837837219
29,0.0366840187413618,0.1164732351899147,0.9658243656158447
30,0.036148780370796364,0.11038409918546677,0.968267023563385
31,0.035542997913767714,0.12390828877687454,0.9645030498504639
32,0.03468386201121445,0.12489573657512665,0.9651248455047607
33,0.03451154908364905,0.12694549560546875,0.9651470184326172
34,0.033701591968004194,0.1268823891878128,0.9642143845558167
35,0.03345469825069553,0.1265045404434204,0.9645474553108215
36,0.03268634279790734,0.12882645428180695,0.9649249911308289
37,0.03215209778897198,0.1439438760280609,0.9636592268943787
38,0.032012207752559335,0.13690878450870514,0.9667792320251465
39,0.03153800939076713,0.13273999094963074,0.966323971748352
40,0.031103708396133568,0.13864295184612274,0.9637258052825928
41,0.030503868265576394,0.1396399587392807,0.963326096534729
42,0.02983828748642866,0.14763504266738892,0.966323971748352
43,0.02980763412513105,0.15379740297794342,0.9637369513511658
44,0.029682828394496548,0.15741072595119476,0.9626044034957886
45,0.028699002884594458,0.15253135561943054,0.9642809629440308
46,0.028631994489114732,0.146722674369812,0.9653580188751221
47,0.028359029123592856,0.16490085422992706,0.9637813568115234
48,0.028026364013619187,0.16638991236686707,0.9614940881729126
49,0.02749104056158103,0.15893436968326569,0.9643476009368896
