epoch,train_mse,val_mse
0,0.002260746234665127,0.000710090680513531
1,0.001797167505110549,0.0005689535173587501
2,0.0015824916962057698,0.00047987772268243134
3,0.0014148476258797442,0.00044410896953195333
4,0.0013002138860661774,0.0004342740576248616
5,0.0012227179970576015,0.0003897736605722457
6,0.001126325786381765,0.0003479459846857935
7,0.0010554586495895501,0.0003525909560266882
8,0.0009849351440924545,0.00036916841054335237
9,0.000943763411859711,0.0003300832468084991
10,0.0009283810311814684,0.00035944129922427237
11,0.0008700823375473319,0.0003636162437032908
12,0.0008343404876731531,0.0003133524733129889
13,0.0007747159588900611,0.00031497262534685433
14,0.0007641894822712815,0.00032327763619832695
15,0.0007041963419692894,0.0002915429649874568
16,0.000704152429026963,0.00032795354491099715
17,0.000674897255775313,0.00030975291156210005
18,0.0006497422164525339,0.00031692770426161587
19,0.0006360030942190395,0.00029692682437598705
20,0.0006038281243554381,0.00032181639107875526
21,0.0005650031854984686,0.00027608167147263885
22,0.0005497088708960841,0.00031651437166146934
23,0.0005450793973449076,0.0002923517022281885
24,0.0005274522558212021,0.00029069490847177804
25,0.0005055797035226512,0.00030060912831686437
26,0.0004896580364804195,0.0002916173543781042
27,0.00048212096056844065,0.00027888608747161925
28,0.0004748642301798776,0.00027199447504244745
29,0.0004640955052055624,0.0003031633095815778
30,0.00045138937292544737,0.00025865441421046853
31,0.00043702379023374685,0.00027096038684248924
32,0.0004225327268846571,0.00026851784787140787
33,0.0003965787994296312,0.0002728069375734776
34,0.00038422652657974925,0.0002520086127333343
35,0.0003882104146489224,0.0002624965854920447
36,0.0004024149505333531,0.0002538099361117929
37,0.0003569296742742069,0.0002854743506759405
38,0.00034734197766357643,0.00024810145259834826
39,0.0003450788665145939,0.00026531165349297225
40,0.0003473231243883357,0.0002676949370652437
41,0.0003437698330746444,0.00023585451708640903
42,0.00032564476409894524,0.0002699662873055786
43,0.0003127940204691651,0.0002489934558980167
44,0.00030668872771689906,0.0002332774893147871
45,0.0002933201776190693,0.0002363189123570919
46,0.0002844967974280819,0.00025951562565751374
47,0.0002831380882335632,0.00023926576250232756
48,0.00027150037914357514,0.00026218549464829266
49,0.00026881652110903305,0.00022818775323685259
